date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:07	78388/78388	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:49:37%20GMT	https://html.ninetheme.com/agrikon/index.html	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/index.html	(from )
17:46:09	1678/1678	---MC-	200	added ('OK')	text/plain	date:Thu,%2001%20Jan%202026%2014:46:07%20GMT	https://html.ninetheme.com/robots.txt		(from )
17:46:10	27986/27986	---MCZ	200	added ('OK')	image/png	etag:W/%22633d6142-6d52%22	https://html.ninetheme.com/agrikon/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/favicons/apple-touch-icon.png	(from https://html.ninetheme.com/agrikon/index.html)
17:46:11	2003/2003	---MCZ	200	added ('OK')	image/png	etag:W/%22633d6142-7d3%22	https://html.ninetheme.com/agrikon/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/favicons/favicon-32x32.png	(from https://html.ninetheme.com/agrikon/index.html)
17:46:12	750/750	---MCZ	200	added ('OK')	image/png	etag:W/%22633d6142-2ee%22	https://html.ninetheme.com/agrikon/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/favicons/favicon-16x16.png	(from https://html.ninetheme.com/agrikon/index.html)
17:46:14	263/263	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22633d6142-107%22	https://html.ninetheme.com/agrikon/assets/images/favicons/site.webmanifest	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/favicons/site.webmanifest	(from https://html.ninetheme.com/agrikon/index.html)
17:46:16	160409/160409	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-27299%22	https://html.ninetheme.com/agrikon/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/bootstrap.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:21	105568/105568	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-19c60%22	https://html.ninetheme.com/agrikon/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/fontawesome-all.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:23	13689/13689	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-3579%22	https://html.ninetheme.com/agrikon/assets/css/swiper.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/swiper.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:24	87493/87493	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-155c5%22	https://html.ninetheme.com/agrikon/assets/css/animate.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/animate.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:24	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-c2c%22	https://html.ninetheme.com/agrikon/assets/css/odometer.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/odometer.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:24	321/321	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-141%22	https://html.ninetheme.com/agrikon/assets/css/jarallax.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/jarallax.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:24	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-1c86%22	https://html.ninetheme.com/agrikon/assets/css/magnific-popup.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/magnific-popup.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:25	9892/9892	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-26a4%22	https://html.ninetheme.com/agrikon/assets/css/bootstrap-select.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/bootstrap-select.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:26	4039/4039	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-fc7%22	https://html.ninetheme.com/agrikon/assets/css/nouislider.min.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/nouislider.min.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:26	2132/2132	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-854%22	https://html.ninetheme.com/agrikon/assets/css/agrikon-icons.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/agrikon-icons.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:26	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-58d%22	https://html.ninetheme.com/agrikon/assets/css/nouislider.pips.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/nouislider.pips.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:27	167675/167675	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6142-28efb%22	https://html.ninetheme.com/agrikon/assets/css/main.css	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/css/main.css	(from https://html.ninetheme.com/agrikon/index.html)
17:46:27	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2001%20Jan%202026%2014:46:27%20GMT	https://html.ninetheme.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/farmer/html.ninetheme.com/cdn-cgi/zaraz/sd0d9.js	(from https://html.ninetheme.com/agrikon/index.html)
17:46:27	4538/4538	---MCZ	200	added ('OK')	image/png	etag:W/%22633d6142-11ba%22	https://html.ninetheme.com/agrikon/assets/images/loader.png	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/loader.png	(from https://html.ninetheme.com/agrikon/index.html)
17:46:27	8018/8018	---MCZ	200	added ('OK')	image/png	etag:W/%22633d6142-1f52%22	https://html.ninetheme.com/agrikon/assets/images/logo-dark.png	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/assets/images/logo-dark.png	(from https://html.ninetheme.com/agrikon/index.html)
17:46:28	82381/82381	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:49:38%20GMT	https://html.ninetheme.com/agrikon/index-2.html	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/index-2.html	(from https://html.ninetheme.com/agrikon/index.html)
17:46:28	61836/61836	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:49:38%20GMT	https://html.ninetheme.com/agrikon/about.html	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/about.html	(from https://html.ninetheme.com/agrikon/index.html)
17:46:28	52060/52060	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:49:37%20GMT	https://html.ninetheme.com/agrikon/services.html	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/services.html	(from https://html.ninetheme.com/agrikon/index.html)
17:46:28	42482/42482	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:49:37%20GMT	https://html.ninetheme.com/agrikon/service-details.html	C:/My%20Web%20Sites/farmer/html.ninetheme.com/agrikon/service-details.html	(from https://html.ninetheme.com/agrikon/index.html)
